,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119,m120,m121,m122,m123,m124,m125
m94,20.0,22.0,23.0,5.0,13.0,40.0,17.0,30.0,23.0,21.0,51.0,29.0,32.0,6.0,7.0,18.0,28.0,7.0,12.0,42.0,4.0,9.0,12.0,18.0,17.0,10.0,16.0,8.0,13.0,15.0,22.0,21.0,7.0,14.0,20.0,9.0,14.0,10.0,3.0,1.0,11.0,8.0,12.0,6.0,11.0,28.0,20.0,19.0,37.0,35.0,14.0,13.0,22.0,25.0,17.0,16.0,26.0,9.0,15.0,8.0,13.0,27.0,19.0,20.0,5.0,10.0,19.0,18.0,11.0,17.0,22.0,7.0,21.0,20.0,13.0,19.0,21.0,6.0,20.0,19.0,12.0,18.0,23.0,19.0,18.0,21.0,17.0,24.0,26.0,3.0,4.0,5.0,5.0,6.0,19.0,15.0,14.0,13.0,11.0,27.0,32.0,31.0,20.0,18.0,16.0,21.0,23.0,24.0,29.0,28.0,6.0,8.0,4.0,2.0,0.0,6.0,4.0,2.0,34.0,27.0,28.0,11.0,39.0,37.0,5.0,12.0,7.0,7.0,14.0,20.0,9.0,31.0,40.0,38.0,45.0,44.0,30.0,23.0,24.0,31.0,36.0,35.0,32.0,37.0,36.0,43.0
m95,22.0,28.0,29.0,3.0,7.0,38.0,19.0,28.0,21.0,19.0,49.0,27.0,38.0,12.0,13.0,16.0,26.0,9.0,14.0,40.0,10.0,11.0,14.0,24.0,23.0,16.0,22.0,14.0,15.0,17.0,28.0,27.0,13.0,20.0,26.0,11.0,16.0,4.0,9.0,7.0,5.0,10.0,14.0,8.0,13.0,26.0,18.0,17.0,35.0,33.0,16.0,15.0,20.0,31.0,23.0,22.0,32.0,15.0,21.0,10.0,15.0,25.0,25.0,26.0,11.0,12.0,25.0,24.0,17.0,23.0,28.0,13.0,27.0,26.0,19.0,25.0,27.0,12.0,26.0,25.0,18.0,24.0,21.0,17.0,16.0,27.0,15.0,22.0,24.0,9.0,10.0,11.0,7.0,8.0,25.0,21.0,20.0,19.0,13.0,25.0,30.0,29.0,18.0,24.0,22.0,19.0,21.0,22.0,27.0,26.0,4.0,6.0,2.0,8.0,6.0,0.0,6.0,4.0,32.0,25.0,26.0,9.0,37.0,35.0,3.0,10.0,1.0,5.0,12.0,18.0,3.0,29.0,38.0,36.0,43.0,42.0,36.0,29.0,30.0,29.0,34.0,33.0,30.0,35.0,34.0,41.0
m96,16.0,22.0,23.0,9.0,13.0,44.0,13.0,34.0,27.0,25.0,55.0,33.0,32.0,6.0,11.0,22.0,32.0,3.0,8.0,46.0,4.0,5.0,8.0,18.0,17.0,10.0,16.0,8.0,9.0,11.0,22.0,21.0,7.0,14.0,20.0,5.0,10.0,10.0,3.0,5.0,11.0,4.0,8.0,6.0,7.0,32.0,24.0,23.0,41.0,39.0,10.0,9.0,26.0,25.0,17.0,16.0,26.0,9.0,15.0,4.0,9.0,31.0,19.0,20.0,5.0,6.0,19.0,18.0,11.0,17.0,22.0,7.0,21.0,20.0,13.0,19.0,21.0,6.0,20.0,19.0,12.0,18.0,27.0,23.0,22.0,21.0,21.0,28.0,30.0,3.0,4.0,5.0,1.0,2.0,23.0,19.0,18.0,17.0,7.0,31.0,36.0,35.0,24.0,18.0,20.0,25.0,27.0,28.0,33.0,32.0,10.0,12.0,8.0,2.0,4.0,6.0,0.0,2.0,38.0,31.0,32.0,15.0,43.0,41.0,9.0,16.0,7.0,11.0,18.0,24.0,9.0,35.0,44.0,42.0,49.0,48.0,34.0,27.0,28.0,35.0,40.0,39.0,36.0,41.0,40.0,47.0
m97,18.0,24.0,25.0,7.0,11.0,42.0,15.0,32.0,25.0,23.0,53.0,31.0,34.0,8.0,9.0,20.0,30.0,5.0,10.0,44.0,6.0,7.0,10.0,20.0,19.0,12.0,18.0,10.0,11.0,13.0,24.0,23.0,9.0,16.0,22.0,7.0,12.0,8.0,5.0,3.0,9.0,6.0,10.0,4.0,9.0,30.0,22.0,21.0,39.0,37.0,12.0,11.0,24.0,27.0,19.0,18.0,28.0,11.0,17.0,6.0,11.0,29.0,21.0,22.0,7.0,8.0,21.0,20.0,13.0,19.0,24.0,9.0,23.0,22.0,15.0,21.0,23.0,8.0,22.0,21.0,14.0,20.0,25.0,21.0,20.0,23.0,19.0,26.0,28.0,5.0,6.0,7.0,3.0,4.0,21.0,17.0,16.0,15.0,9.0,29.0,34.0,33.0,22.0,20.0,18.0,23.0,25.0,26.0,31.0,30.0,8.0,10.0,6.0,4.0,2.0,4.0,2.0,0.0,36.0,29.0,30.0,13.0,41.0,39.0,7.0,14.0,5.0,9.0,16.0,22.0,7.0,33.0,42.0,40.0,47.0,46.0,32.0,25.0,26.0,33.0,38.0,37.0,34.0,39.0,38.0,45.0
m98,54.0,18.0,25.0,29.0,39.0,6.0,51.0,10.0,19.0,19.0,17.0,7.0,6.0,40.0,27.0,18.0,24.0,41.0,46.0,8.0,36.0,43.0,46.0,22.0,23.0,30.0,24.0,40.0,47.0,49.0,26.0,27.0,41.0,34.0,28.0,43.0,48.0,36.0,35.0,33.0,37.0,42.0,46.0,40.0,45.0,8.0,16.0,17.0,3.0,1.0,48.0,47.0,18.0,13.0,21.0,22.0,12.0,29.0,23.0,42.0,47.0,23.0,21.0,22.0,37.0,44.0,23.0,24.0,31.0,25.0,24.0,39.0,25.0,26.0,33.0,27.0,23.0,38.0,24.0,25.0,32.0,26.0,11.0,15.0,16.0,17.0,17.0,12.0,14.0,37.0,38.0,39.0,39.0,40.0,15.0,19.0,20.0,21.0,45.0,15.0,20.0,19.0,14.0,20.0,18.0,15.0,17.0,18.0,23.0,22.0,30.0,32.0,30.0,36.0,34.0,32.0,38.0,36.0,0.0,7.0,6.0,23.0,5.0,3.0,31.0,24.0,33.0,33.0,26.0,20.0,35.0,9.0,6.0,4.0,11.0,10.0,4.0,11.0,10.0,11.0,16.0,15.0,10.0,15.0,14.0,9.0
m99,47.0,11.0,18.0,22.0,32.0,13.0,44.0,3.0,12.0,12.0,24.0,2.0,13.0,33.0,20.0,11.0,17.0,34.0,39.0,15.0,29.0,36.0,39.0,15.0,16.0,23.0,17.0,33.0,40.0,42.0,19.0,20.0,34.0,27.0,21.0,36.0,41.0,29.0,28.0,26.0,30.0,35.0,39.0,33.0,38.0,1.0,9.0,10.0,10.0,8.0,41.0,40.0,11.0,6.0,14.0,15.0,7.0,22.0,16.0,35.0,40.0,16.0,14.0,15.0,30.0,37.0,16.0,17.0,24.0,18.0,17.0,32.0,18.0,19.0,26.0,20.0,16.0,31.0,17.0,18.0,25.0,19.0,4.0,8.0,9.0,10.0,10.0,5.0,7.0,30.0,31.0,32.0,32.0,33.0,8.0,12.0,13.0,14.0,38.0,8.0,13.0,12.0,7.0,13.0,11.0,8.0,10.0,11.0,16.0,15.0,23.0,25.0,23.0,29.0,27.0,25.0,31.0,29.0,7.0,0.0,1.0,16.0,12.0,10.0,24.0,17.0,26.0,26.0,19.0,13.0,28.0,4.0,13.0,11.0,18.0,17.0,11.0,4.0,5.0,4.0,9.0,8.0,5.0,10.0,9.0,16.0
m100,48.0,12.0,19.0,23.0,33.0,12.0,45.0,4.0,13.0,13.0,23.0,1.0,12.0,34.0,21.0,12.0,18.0,35.0,40.0,14.0,30.0,37.0,40.0,16.0,17.0,24.0,18.0,34.0,41.0,43.0,20.0,21.0,35.0,28.0,22.0,37.0,42.0,30.0,29.0,27.0,31.0,36.0,40.0,34.0,39.0,2.0,10.0,11.0,9.0,7.0,42.0,41.0,12.0,7.0,15.0,16.0,6.0,23.0,17.0,36.0,41.0,17.0,15.0,16.0,31.0,38.0,17.0,18.0,25.0,19.0,18.0,33.0,19.0,20.0,27.0,21.0,17.0,32.0,18.0,19.0,26.0,20.0,5.0,9.0,10.0,11.0,11.0,6.0,8.0,31.0,32.0,33.0,33.0,34.0,9.0,13.0,14.0,15.0,39.0,9.0,14.0,13.0,8.0,14.0,12.0,9.0,11.0,12.0,17.0,16.0,24.0,26.0,24.0,30.0,28.0,26.0,32.0,30.0,6.0,1.0,0.0,17.0,11.0,9.0,25.0,18.0,27.0,27.0,20.0,14.0,29.0,3.0,12.0,10.0,17.0,16.0,10.0,5.0,4.0,5.0,10.0,9.0,4.0,9.0,8.0,15.0
m101,31.0,19.0,20.0,6.0,16.0,29.0,28.0,19.0,12.0,10.0,40.0,18.0,29.0,17.0,4.0,7.0,17.0,18.0,23.0,31.0,13.0,20.0,23.0,15.0,14.0,7.0,13.0,17.0,24.0,26.0,19.0,18.0,18.0,11.0,17.0,20.0,25.0,13.0,12.0,10.0,14.0,19.0,23.0,17.0,22.0,17.0,9.0,8.0,26.0,24.0,25.0,24.0,11.0,22.0,14.0,13.0,23.0,6.0,12.0,19.0,24.0,16.0,16.0,17.0,14.0,21.0,16.0,15.0,8.0,14.0,19.0,16.0,18.0,17.0,10.0,16.0,18.0,15.0,17.0,16.0,9.0,15.0,12.0,8.0,7.0,18.0,6.0,13.0,15.0,14.0,15.0,16.0,16.0,17.0,16.0,12.0,11.0,10.0,22.0,16.0,21.0,20.0,9.0,15.0,13.0,10.0,12.0,13.0,18.0,17.0,7.0,9.0,7.0,13.0,11.0,9.0,15.0,13.0,23.0,16.0,17.0,0.0,28.0,26.0,8.0,1.0,10.0,10.0,3.0,9.0,12.0,20.0,29.0,27.0,34.0,33.0,27.0,20.0,21.0,20.0,25.0,24.0,21.0,26.0,25.0,32.0
m102,59.0,23.0,30.0,34.0,38.0,5.0,56.0,9.0,18.0,18.0,12.0,10.0,11.0,45.0,32.0,21.0,23.0,46.0,51.0,7.0,41.0,48.0,51.0,27.0,28.0,35.0,29.0,45.0,52.0,54.0,31.0,32.0,46.0,39.0,33.0,48.0,53.0,41.0,40.0,38.0,40.0,47.0,51.0,45.0,50.0,11.0,19.0,20.0,2.0,4.0,53.0,52.0,17.0,18.0,26.0,27.0,17.0,34.0,28.0,47.0,52.0,22.0,26.0,27.0,42.0,49.0,28.0,29.0,36.0,30.0,29.0,44.0,30.0,31.0,38.0,32.0,28.0,43.0,29.0,30.0,37.0,31.0,16.0,20.0,21.0,22.0,22.0,15.0,13.0,42.0,43.0,44.0,44.0,45.0,20.0,24.0,25.0,26.0,50.0,14.0,19.0,18.0,19.0,25.0,23.0,18.0,16.0,17.0,22.0,21.0,33.0,31.0,35.0,41.0,39.0,37.0,43.0,41.0,5.0,12.0,11.0,28.0,0.0,2.0,34.0,27.0,36.0,32.0,25.0,19.0,34.0,8.0,1.0,3.0,6.0,5.0,9.0,16.0,15.0,10.0,15.0,14.0,9.0,14.0,13.0,8.0
m103,57.0,21.0,28.0,32.0,36.0,7.0,54.0,7.0,16.0,16.0,14.0,8.0,9.0,43.0,30.0,19.0,21.0,44.0,49.0,5.0,39.0,46.0,49.0,25.0,26.0,33.0,27.0,43.0,50.0,52.0,29.0,30.0,44.0,37.0,31.0,46.0,51.0,39.0,38.0,36.0,38.0,45.0,49.0,43.0,48.0,9.0,17.0,18.0,4.0,2.0,51.0,50.0,15.0,16.0,24.0,25.0,15.0,32.0,26.0,45.0,50.0,20.0,24.0,25.0,40.0,47.0,26.0,27.0,34.0,28.0,27.0,42.0,28.0,29.0,36.0,30.0,26.0,41.0,27.0,28.0,35.0,29.0,14.0,18.0,19.0,20.0,20.0,13.0,11.0,40.0,41.0,42.0,42.0,43.0,18.0,22.0,23.0,24.0,48.0,12.0,17.0,16.0,17.0,23.0,21.0,16.0,14.0,15.0,20.0,19.0,31.0,29.0,33.0,39.0,37.0,35.0,41.0,39.0,3.0,10.0,9.0,26.0,2.0,0.0,32.0,25.0,34.0,30.0,23.0,17.0,32.0,6.0,3.0,1.0,8.0,7.0,7.0,14.0,13.0,8.0,13.0,12.0,7.0,12.0,11.0,6.0
m104,25.0,27.0,28.0,2.0,8.0,35.0,22.0,25.0,18.0,16.0,46.0,24.0,37.0,11.0,12.0,13.0,23.0,12.0,17.0,37.0,9.0,14.0,17.0,23.0,22.0,15.0,21.0,13.0,18.0,20.0,27.0,26.0,12.0,19.0,25.0,14.0,19.0,7.0,8.0,6.0,6.0,13.0,17.0,11.0,16.0,23.0,15.0,14.0,32.0,30.0,19.0,18.0,17.0,30.0,22.0,21.0,31.0,14.0,20.0,13.0,18.0,22.0,24.0,25.0,10.0,15.0,24.0,23.0,16.0,22.0,27.0,12.0,26.0,25.0,18.0,24.0,26.0,11.0,25.0,24.0,17.0,23.0,20.0,16.0,15.0,26.0,14.0,19.0,21.0,8.0,9.0,10.0,10.0,11.0,24.0,20.0,19.0,18.0,16.0,22.0,27.0,26.0,17.0,23.0,21.0,16.0,18.0,19.0,24.0,23.0,1.0,3.0,1.0,7.0,5.0,3.0,9.0,7.0,31.0,24.0,25.0,8.0,34.0,32.0,0.0,7.0,2.0,2.0,9.0,15.0,4.0,26.0,35.0,33.0,40.0,39.0,35.0,28.0,29.0,26.0,31.0,30.0,27.0,32.0,31.0,38.0
m105,32.0,20.0,21.0,7.0,15.0,28.0,29.0,18.0,11.0,9.0,39.0,17.0,30.0,18.0,5.0,6.0,16.0,19.0,24.0,30.0,14.0,21.0,24.0,16.0,15.0,8.0,14.0,18.0,25.0,27.0,20.0,19.0,19.0,12.0,18.0,21.0,26.0,14.0,13.0,11.0,13.0,20.0,24.0,18.0,23.0,16.0,8.0,7.0,25.0,23.0,26.0,25.0,10.0,23.0,15.0,14.0,24.0,7.0,13.0,20.0,25.0,15.0,17.0,18.0,15.0,22.0,17.0,16.0,9.0,15.0,20.0,17.0,19.0,18.0,11.0,17.0,19.0,16.0,18.0,17.0,10.0,16.0,13.0,9.0,8.0,19.0,7.0,12.0,14.0,15.0,16.0,17.0,17.0,18.0,17.0,13.0,12.0,11.0,23.0,15.0,20.0,19.0,10.0,16.0,14.0,9.0,11.0,12.0,17.0,16.0,6.0,8.0,8.0,14.0,12.0,10.0,16.0,14.0,24.0,17.0,18.0,1.0,27.0,25.0,7.0,0.0,9.0,9.0,2.0,8.0,11.0,19.0,28.0,26.0,33.0,32.0,28.0,21.0,22.0,19.0,24.0,23.0,20.0,25.0,24.0,31.0
m106,23.0,29.0,30.0,4.0,6.0,37.0,20.0,27.0,20.0,18.0,48.0,26.0,39.0,13.0,14.0,15.0,25.0,10.0,15.0,39.0,11.0,12.0,15.0,25.0,24.0,17.0,23.0,15.0,16.0,18.0,29.0,28.0,14.0,21.0,27.0,12.0,17.0,5.0,10.0,8.0,4.0,11.0,15.0,9.0,14.0,25.0,17.0,16.0,34.0,32.0,17.0,16.0,19.0,32.0,24.0,23.0,33.0,16.0,22.0,11.0,16.0,24.0,26.0,27.0,12.0,13.0,26.0,25.0,18.0,24.0,29.0,14.0,28.0,27.0,20.0,26.0,28.0,13.0,27.0,26.0,19.0,25.0,22.0,18.0,17.0,28.0,16.0,21.0,23.0,10.0,11.0,12.0,8.0,9.0,26.0,22.0,21.0,20.0,14.0,24.0,29.0,28.0,19.0,25.0,23.0,18.0,20.0,21.0,26.0,25.0,3.0,5.0,3.0,9.0,7.0,1.0,7.0,5.0,33.0,26.0,27.0,10.0,36.0,34.0,2.0,9.0,0.0,4.0,11.0,17.0,2.0,28.0,37.0,35.0,42.0,41.0,37.0,30.0,31.0,28.0,33.0,32.0,29.0,34.0,33.0,40.0
m107,27.0,29.0,30.0,4.0,6.0,37.0,24.0,23.0,16.0,14.0,44.0,26.0,39.0,13.0,14.0,15.0,21.0,14.0,19.0,35.0,11.0,16.0,19.0,25.0,24.0,17.0,23.0,15.0,20.0,22.0,29.0,28.0,14.0,21.0,27.0,16.0,21.0,9.0,10.0,8.0,8.0,15.0,19.0,13.0,18.0,25.0,17.0,16.0,34.0,32.0,21.0,20.0,15.0,32.0,24.0,23.0,33.0,16.0,22.0,15.0,20.0,20.0,26.0,27.0,12.0,17.0,26.0,25.0,18.0,24.0,29.0,14.0,28.0,27.0,20.0,26.0,28.0,13.0,27.0,26.0,19.0,25.0,22.0,18.0,17.0,28.0,16.0,21.0,19.0,10.0,11.0,12.0,12.0,13.0,26.0,22.0,21.0,20.0,18.0,20.0,25.0,24.0,19.0,25.0,23.0,18.0,16.0,17.0,22.0,21.0,3.0,1.0,3.0,9.0,7.0,5.0,11.0,9.0,33.0,26.0,27.0,10.0,32.0,30.0,2.0,9.0,4.0,0.0,7.0,13.0,2.0,24.0,33.0,31.0,38.0,37.0,37.0,30.0,31.0,24.0,29.0,28.0,25.0,30.0,29.0,36.0
m108,34.0,22.0,23.0,9.0,13.0,30.0,31.0,16.0,9.0,7.0,37.0,19.0,32.0,20.0,7.0,8.0,14.0,21.0,26.0,28.0,16.0,23.0,26.0,18.0,17.0,10.0,16.0,20.0,27.0,29.0,22.0,21.0,21.0,14.0,20.0,23.0,28.0,16.0,15.0,13.0,15.0,22.0,26.0,20.0,25.0,18.0,10.0,9.0,27.0,25.0,28.0,27.0,8.0,25.0,17.0,16.0,26.0,9.0,15.0,22.0,27.0,13.0,19.0,20.0,17.0,24.0,19.0,18.0,11.0,17.0,22.0,19.0,21.0,20.0,13.0,19.0,21.0,18.0,20.0,19.0,12.0,18.0,15.0,11.0,10.0,21.0,9.0,14.0,12.0,17.0,18.0,19.0,19.0,20.0,19.0,15.0,14.0,13.0,25.0,13.0,18.0,17.0,12.0,18.0,16.0,11.0,9.0,10.0,15.0,14.0,8.0,6.0,10.0,16.0,14.0,12.0,18.0,16.0,26.0,19.0,20.0,3.0,25.0,23.0,9.0,2.0,11.0,7.0,0.0,6.0,9.0,17.0,26.0,24.0,31.0,30.0,30.0,23.0,24.0,17.0,22.0,21.0,18.0,23.0,22.0,29.0
m109,40.0,16.0,17.0,15.0,19.0,24.0,37.0,10.0,3.0,1.0,31.0,13.0,26.0,26.0,13.0,2.0,8.0,27.0,32.0,22.0,22.0,29.0,32.0,12.0,11.0,16.0,10.0,26.0,33.0,35.0,16.0,15.0,27.0,20.0,14.0,29.0,34.0,22.0,21.0,19.0,21.0,28.0,32.0,26.0,31.0,12.0,4.0,3.0,21.0,19.0,34.0,33.0,2.0,19.0,11.0,10.0,20.0,15.0,9.0,28.0,33.0,7.0,13.0,14.0,23.0,30.0,13.0,12.0,17.0,11.0,16.0,25.0,15.0,14.0,19.0,13.0,15.0,24.0,14.0,13.0,18.0,12.0,9.0,5.0,4.0,15.0,3.0,8.0,6.0,23.0,24.0,25.0,25.0,26.0,13.0,9.0,8.0,7.0,31.0,7.0,12.0,11.0,6.0,12.0,10.0,5.0,3.0,4.0,9.0,8.0,14.0,12.0,16.0,22.0,20.0,18.0,24.0,22.0,20.0,13.0,14.0,9.0,19.0,17.0,15.0,8.0,17.0,13.0,6.0,0.0,15.0,11.0,20.0,18.0,25.0,24.0,24.0,17.0,18.0,11.0,16.0,15.0,12.0,17.0,16.0,23.0
m110,25.0,31.0,32.0,6.0,4.0,39.0,22.0,25.0,18.0,16.0,46.0,28.0,41.0,15.0,16.0,17.0,23.0,12.0,17.0,37.0,13.0,14.0,17.0,27.0,26.0,19.0,25.0,17.0,18.0,20.0,31.0,30.0,16.0,23.0,29.0,14.0,19.0,7.0,12.0,10.0,6.0,13.0,17.0,11.0,16.0,27.0,19.0,18.0,36.0,34.0,19.0,18.0,17.0,34.0,26.0,25.0,35.0,18.0,24.0,13.0,18.0,22.0,28.0,29.0,14.0,15.0,28.0,27.0,20.0,26.0,31.0,16.0,30.0,29.0,22.0,28.0,30.0,15.0,29.0,28.0,21.0,27.0,24.0,20.0,19.0,30.0,18.0,23.0,21.0,12.0,13.0,14.0,10.0,11.0,28.0,24.0,23.0,22.0,16.0,22.0,27.0,26.0,21.0,27.0,25.0,20.0,18.0,19.0,24.0,23.0,5.0,3.0,5.0,11.0,9.0,3.0,9.0,7.0,35.0,28.0,29.0,12.0,34.0,32.0,4.0,11.0,2.0,2.0,9.0,15.0,0.0,26.0,35.0,33.0,40.0,39.0,39.0,32.0,33.0,26.0,31.0,30.0,27.0,32.0,31.0,38.0
m111,51.0,15.0,22.0,26.0,30.0,13.0,48.0,1.0,10.0,10.0,20.0,2.0,15.0,37.0,24.0,13.0,15.0,38.0,43.0,11.0,33.0,40.0,43.0,19.0,20.0,27.0,21.0,37.0,44.0,46.0,23.0,24.0,38.0,31.0,25.0,40.0,45.0,33.0,32.0,30.0,32.0,39.0,43.0,37.0,42.0,3.0,11.0,12.0,10.0,8.0,45.0,44.0,9.0,10.0,18.0,19.0,9.0,26.0,20.0,39.0,44.0,14.0,18.0,19.0,34.0,41.0,20.0,21.0,28.0,22.0,21.0,36.0,22.0,23.0,30.0,24.0,20.0,35.0,21.0,22.0,29.0,23.0,8.0,12.0,13.0,14.0,14.0,7.0,5.0,34.0,35.0,36.0,36.0,37.0,12.0,16.0,17.0,18.0,42.0,6.0,11.0,10.0,11.0,17.0,15.0,10.0,8.0,9.0,14.0,13.0,25.0,23.0,27.0,33.0,31.0,29.0,35.0,33.0,9.0,4.0,3.0,20.0,8.0,6.0,26.0,19.0,28.0,24.0,17.0,11.0,26.0,0.0,9.0,7.0,14.0,13.0,13.0,8.0,7.0,2.0,7.0,6.0,1.0,6.0,5.0,12.0
m112,60.0,24.0,31.0,35.0,39.0,6.0,57.0,10.0,17.0,19.0,11.0,11.0,12.0,46.0,33.0,22.0,22.0,47.0,52.0,6.0,42.0,49.0,52.0,28.0,29.0,36.0,30.0,46.0,53.0,55.0,32.0,33.0,47.0,40.0,34.0,49.0,54.0,42.0,41.0,39.0,41.0,48.0,52.0,46.0,51.0,12.0,20.0,21.0,3.0,5.0,54.0,53.0,18.0,19.0,27.0,28.0,18.0,35.0,29.0,48.0,53.0,21.0,27.0,28.0,43.0,50.0,29.0,30.0,37.0,31.0,30.0,45.0,31.0,32.0,39.0,33.0,29.0,44.0,30.0,31.0,38.0,32.0,17.0,21.0,22.0,23.0,23.0,16.0,14.0,43.0,44.0,45.0,45.0,46.0,21.0,25.0,26.0,27.0,51.0,13.0,18.0,17.0,20.0,26.0,24.0,19.0,17.0,16.0,21.0,20.0,34.0,32.0,36.0,42.0,40.0,38.0,44.0,42.0,6.0,13.0,12.0,29.0,1.0,3.0,35.0,28.0,37.0,33.0,26.0,20.0,35.0,9.0,0.0,2.0,5.0,4.0,10.0,17.0,16.0,9.0,14.0,13.0,8.0,13.0,12.0,7.0
m113,58.0,22.0,29.0,33.0,37.0,8.0,55.0,8.0,15.0,17.0,13.0,9.0,10.0,44.0,31.0,20.0,20.0,45.0,50.0,4.0,40.0,47.0,50.0,26.0,27.0,34.0,28.0,44.0,51.0,53.0,30.0,31.0,45.0,38.0,32.0,47.0,52.0,40.0,39.0,37.0,39.0,46.0,50.0,44.0,49.0,10.0,18.0,19.0,5.0,3.0,52.0,51.0,16.0,17.0,25.0,26.0,16.0,33.0,27.0,46.0,51.0,19.0,25.0,26.0,41.0,48.0,27.0,28.0,35.0,29.0,28.0,43.0,29.0,30.0,37.0,31.0,27.0,42.0,28.0,29.0,36.0,30.0,15.0,19.0,20.0,21.0,21.0,14.0,12.0,41.0,42.0,43.0,43.0,44.0,19.0,23.0,24.0,25.0,49.0,11.0,16.0,15.0,18.0,24.0,22.0,17.0,15.0,14.0,19.0,18.0,32.0,30.0,34.0,40.0,38.0,36.0,42.0,40.0,4.0,11.0,10.0,27.0,3.0,1.0,33.0,26.0,35.0,31.0,24.0,18.0,33.0,7.0,2.0,0.0,7.0,6.0,8.0,15.0,14.0,7.0,12.0,11.0,6.0,11.0,10.0,5.0
m114,65.0,29.0,36.0,40.0,44.0,11.0,62.0,15.0,22.0,24.0,6.0,16.0,17.0,51.0,38.0,27.0,17.0,52.0,57.0,3.0,47.0,54.0,57.0,33.0,34.0,41.0,35.0,51.0,58.0,60.0,37.0,38.0,52.0,45.0,39.0,54.0,59.0,47.0,46.0,44.0,46.0,53.0,57.0,51.0,56.0,17.0,25.0,26.0,8.0,10.0,59.0,58.0,23.0,24.0,32.0,33.0,23.0,40.0,34.0,53.0,58.0,18.0,32.0,33.0,48.0,55.0,34.0,35.0,42.0,36.0,35.0,50.0,36.0,37.0,44.0,38.0,34.0,49.0,35.0,36.0,43.0,37.0,22.0,26.0,27.0,28.0,28.0,21.0,19.0,48.0,49.0,50.0,50.0,51.0,26.0,30.0,31.0,32.0,56.0,18.0,13.0,14.0,25.0,31.0,29.0,24.0,22.0,21.0,16.0,17.0,39.0,37.0,41.0,47.0,45.0,43.0,49.0,47.0,11.0,18.0,17.0,34.0,6.0,8.0,40.0,33.0,42.0,38.0,31.0,25.0,40.0,14.0,5.0,7.0,0.0,1.0,15.0,22.0,21.0,14.0,9.0,10.0,13.0,8.0,9.0,2.0
m115,64.0,28.0,35.0,39.0,43.0,10.0,61.0,14.0,21.0,23.0,7.0,15.0,16.0,50.0,37.0,26.0,18.0,51.0,56.0,2.0,46.0,53.0,56.0,32.0,33.0,40.0,34.0,50.0,57.0,59.0,36.0,37.0,51.0,44.0,38.0,53.0,58.0,46.0,45.0,43.0,45.0,52.0,56.0,50.0,55.0,16.0,24.0,25.0,7.0,9.0,58.0,57.0,22.0,23.0,31.0,32.0,22.0,39.0,33.0,52.0,57.0,17.0,31.0,32.0,47.0,54.0,33.0,34.0,41.0,35.0,34.0,49.0,35.0,36.0,43.0,37.0,33.0,48.0,34.0,35.0,42.0,36.0,21.0,25.0,26.0,27.0,27.0,20.0,18.0,47.0,48.0,49.0,49.0,50.0,25.0,29.0,30.0,31.0,55.0,17.0,14.0,13.0,24.0,30.0,28.0,23.0,21.0,20.0,17.0,16.0,38.0,36.0,40.0,46.0,44.0,42.0,48.0,46.0,10.0,17.0,16.0,33.0,5.0,7.0,39.0,32.0,41.0,37.0,30.0,24.0,39.0,13.0,4.0,6.0,1.0,0.0,14.0,21.0,20.0,13.0,10.0,9.0,12.0,9.0,8.0,3.0
m116,50.0,14.0,21.0,33.0,43.0,10.0,47.0,14.0,23.0,23.0,21.0,11.0,2.0,36.0,23.0,22.0,28.0,37.0,42.0,12.0,32.0,39.0,42.0,18.0,19.0,26.0,20.0,36.0,43.0,45.0,22.0,23.0,37.0,30.0,24.0,39.0,44.0,40.0,31.0,29.0,41.0,38.0,42.0,36.0,41.0,12.0,20.0,21.0,7.0,5.0,44.0,43.0,22.0,9.0,17.0,18.0,8.0,25.0,19.0,38.0,43.0,27.0,17.0,18.0,33.0,40.0,19.0,20.0,27.0,21.0,20.0,35.0,21.0,22.0,29.0,23.0,19.0,34.0,20.0,21.0,28.0,22.0,15.0,19.0,20.0,13.0,21.0,16.0,18.0,33.0,34.0,35.0,35.0,36.0,11.0,15.0,16.0,17.0,41.0,19.0,24.0,23.0,18.0,16.0,14.0,19.0,21.0,22.0,27.0,26.0,34.0,36.0,34.0,32.0,30.0,36.0,34.0,32.0,4.0,11.0,10.0,27.0,9.0,7.0,35.0,28.0,37.0,37.0,30.0,24.0,39.0,13.0,10.0,8.0,15.0,14.0,0.0,7.0,6.0,15.0,20.0,19.0,14.0,19.0,18.0,13.0
